      Comparison1   Comparison2  I3D_pcomp_Prediction  I3D_ptarget_Prediction  I3D_pavg_Prediction  I3D_pcomp_MAP_Prediction  I3D_ptarget_MAP_Prediction  I3D_pavg_MAP_Prediction  I3D_pcomp_w_Prediction  I3D_ptarget_w_Prediction  I3D_pavg_w_Prediction  I3D_pcomp_MAP_w_Prediction  I3D_ptarget_MAP_w_Prediction  I3D_pavg_MAP_w_Prediction
64    o3_t1_cs_d2   o3_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
65    o3_t1_cs_d2   o3_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
66    o3_t1_cs_d2   o3_t2_mf_d2                     0                       1                    0                         0                           1                        1                       0                         1                      0                           0                             1                          1
67    o3_t1_cs_d2   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
68    o3_t1_cs_d2   o3_t2_rp_d2                     1                       0                    0                         1                           0                        0                       1                         0                      0                           1                             0                          0
69    o3_t2_ap_d1   o3_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
70    o3_t2_ap_d1   o3_t2_mf_d1                     1                       0                    0                         1                           0                        0                       1                         0                      0                           1                             0                          0
71    o3_t2_ap_d1   o3_t2_mf_d2                     0                       1                    0                         0                           0                        0                       0                         1                      0                           0                             0                          0
72    o3_t2_ap_d1   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
73    o3_t2_ap_d1   o3_t2_rp_d2                     0                       0                    0                         1                           0                        0                       0                         0                      0                           1                             0                          0
74    o3_t2_ap_d2   o3_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
75    o3_t2_ap_d2   o3_t2_mf_d2                     0                       1                    0                         1                           1                        1                       0                         1                      1                           1                             1                          1
76    o3_t2_ap_d2   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
77    o3_t2_ap_d2   o3_t2_rp_d2                     1                       1                    1                         1                           0                        1                       1                         1                      1                           1                             0                          1
78    o3_t2_mf_d1   o3_t2_mf_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
79    o3_t2_mf_d1   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
80    o3_t2_mf_d1   o3_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
81    o3_t2_mf_d2   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
82    o3_t2_mf_d2   o3_t2_rp_d2                     1                       0                    1                         1                           0                        0                       1                         0                      0                           1                             0                          0
83    o3_t2_rp_d1   o3_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
84    o4_t1_cs_d1   o4_t1_cs_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
85    o4_t1_cs_d1   o4_t2_ap_d1                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
86    o4_t1_cs_d1   o4_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
